2.2948 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.3651 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
21.6337 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000207960CCD60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000207980AF520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.6339 	EXP 	window1: mouseVisible = True
21.6341 	EXP 	window1: mouseVisible = False
21.6342 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.6342 	EXP 	window1: recordFrameIntervals = False
21.7996 	EXP 	window1: recordFrameIntervals = True
21.9828 	EXP 	Screen (0) actual frame rate measured at 59.89Hz
21.9828 	EXP 	window1: recordFrameIntervals = False
25.2539 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
25.3832 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
25.3909 	EXP 	Imported C:/Users/admin/Documents/conditions.xlsx as conditions, 1 conditions, 5 params
26.2673 	EXP 	window1: recordFrameIntervals = False
26.2779 	EXP 	window1: recordFrameIntervals = False
27.3293 	EXP 	fixation: autoDraw = True
27.5020 	EXP 	grating: autoDraw = True
27.5020 	EXP 	grating: tex = 'sin'
27.8165 	EXP 	grating: autoDraw = False
28.3332 	EXP 	fixation: autoDraw = False
40.1635 	EXP 	window1: recordFrameIntervals = False
40.1649 	DATA 	Keypress: right
40.1774 	EXP 	fixation: autoDraw = False
40.1774 	EXP 	grating: autoDraw = False
40.1776 	EXP 	window1: recordFrameIntervals = False
41.1539 	EXP 	fixation: autoDraw = True
42.1607 	EXP 	fixation: autoDraw = False
42.1774 	EXP 	grating: autoDraw = True
42.1774 	EXP 	grating: tex = 'sin'
42.4768 	EXP 	grating: autoDraw = False
42.7125 	EXP 	window1: recordFrameIntervals = False
42.7138 	DATA 	Keypress: left
42.7271 	EXP 	fixation: autoDraw = False
42.7271 	EXP 	grating: autoDraw = False
42.7273 	EXP 	window1: recordFrameIntervals = False
43.7017 	EXP 	fixation: autoDraw = True
44.7097 	EXP 	fixation: autoDraw = False
44.7264 	EXP 	grating: autoDraw = True
44.7264 	EXP 	grating: tex = 'sin'
45.0263 	EXP 	grating: autoDraw = False
45.1782 	EXP 	window1: recordFrameIntervals = False
45.1795 	DATA 	Keypress: left
45.1932 	EXP 	fixation: autoDraw = False
45.1932 	EXP 	grating: autoDraw = False
45.1934 	EXP 	window1: recordFrameIntervals = False
46.1690 	EXP 	fixation: autoDraw = True
47.1756 	EXP 	fixation: autoDraw = False
47.1924 	EXP 	grating: autoDraw = True
47.1924 	EXP 	grating: tex = 'sin'
47.4924 	EXP 	grating: autoDraw = False
47.5110 	EXP 	window1: recordFrameIntervals = False
47.5122 	DATA 	Keypress: right
47.5256 	EXP 	fixation: autoDraw = False
47.5256 	EXP 	grating: autoDraw = False
47.5258 	EXP 	window1: recordFrameIntervals = False
48.5000 	EXP 	fixation: autoDraw = True
49.5084 	EXP 	fixation: autoDraw = False
49.5252 	EXP 	grating: autoDraw = True
49.5252 	EXP 	grating: tex = 'sin'
49.8253 	EXP 	grating: autoDraw = False
49.8940 	EXP 	window1: recordFrameIntervals = False
49.8952 	DATA 	Keypress: right
49.9084 	EXP 	fixation: autoDraw = False
49.9084 	EXP 	grating: autoDraw = False
49.9086 	EXP 	window1: recordFrameIntervals = False
50.8828 	EXP 	fixation: autoDraw = True
51.8915 	EXP 	fixation: autoDraw = False
51.9082 	EXP 	grating: autoDraw = True
51.9082 	EXP 	grating: tex = 'sin'
52.2079 	EXP 	grating: autoDraw = False
52.2933 	EXP 	window1: recordFrameIntervals = False
52.2945 	DATA 	Keypress: left
52.3079 	EXP 	fixation: autoDraw = False
52.3079 	EXP 	grating: autoDraw = False
52.3081 	EXP 	window1: recordFrameIntervals = False
53.2833 	EXP 	fixation: autoDraw = True
54.2909 	EXP 	fixation: autoDraw = False
54.3074 	EXP 	grating: autoDraw = True
54.3074 	EXP 	grating: tex = 'sin'
54.6074 	EXP 	grating: autoDraw = False
54.6256 	EXP 	window1: recordFrameIntervals = False
54.6264 	DATA 	Keypress: right
54.6406 	EXP 	fixation: autoDraw = False
54.6406 	EXP 	grating: autoDraw = False
54.6410 	EXP 	window1: recordFrameIntervals = False
55.6157 	EXP 	fixation: autoDraw = True
56.6234 	EXP 	fixation: autoDraw = False
56.6404 	EXP 	grating: autoDraw = True
56.6404 	EXP 	grating: tex = 'sin'
56.9399 	EXP 	grating: autoDraw = False
56.9423 	EXP 	window1: recordFrameIntervals = False
56.9435 	DATA 	Keypress: left
56.9564 	EXP 	fixation: autoDraw = False
56.9564 	EXP 	grating: autoDraw = False
56.9567 	EXP 	window1: recordFrameIntervals = False
57.9301 	EXP 	fixation: autoDraw = True
58.9397 	EXP 	fixation: autoDraw = False
58.9566 	EXP 	grating: autoDraw = True
58.9566 	EXP 	grating: tex = 'sin'
59.2560 	EXP 	grating: autoDraw = False
59.2749 	EXP 	window1: recordFrameIntervals = False
59.2761 	DATA 	Keypress: right
59.2895 	EXP 	fixation: autoDraw = False
59.2895 	EXP 	grating: autoDraw = False
59.2898 	EXP 	window1: recordFrameIntervals = False
60.2646 	EXP 	fixation: autoDraw = True
61.2720 	EXP 	fixation: autoDraw = False
61.2893 	EXP 	grating: autoDraw = True
61.2893 	EXP 	grating: tex = 'sin'
61.5756 	EXP 	window1: recordFrameIntervals = False
61.5766 	DATA 	Keypress: left
61.5887 	EXP 	grating: autoDraw = False
61.5887 	EXP 	fixation: autoDraw = False
61.5887 	EXP 	grating: autoDraw = False
61.5889 	EXP 	window1: recordFrameIntervals = False
62.5649 	EXP 	fixation: autoDraw = True
63.4574 	DATA 	Keypress: right
63.5719 	EXP 	fixation: autoDraw = False
63.5884 	EXP 	grating: autoDraw = True
63.5884 	EXP 	grating: tex = 'sin'
63.8881 	EXP 	grating: autoDraw = False
67.0226 	EXP 	window1: recordFrameIntervals = False
67.0234 	DATA 	Keypress: right
67.0375 	EXP 	fixation: autoDraw = False
67.0375 	EXP 	grating: autoDraw = False
67.0377 	EXP 	window1: recordFrameIntervals = False
68.0136 	EXP 	fixation: autoDraw = True
69.0202 	EXP 	fixation: autoDraw = False
69.0374 	EXP 	grating: autoDraw = True
69.0374 	EXP 	grating: tex = 'sin'
69.3226 	EXP 	window1: recordFrameIntervals = False
69.3238 	DATA 	Keypress: left
69.3370 	EXP 	grating: autoDraw = False
69.3370 	EXP 	fixation: autoDraw = False
69.3370 	EXP 	grating: autoDraw = False
69.3375 	EXP 	window1: recordFrameIntervals = False
70.3127 	EXP 	fixation: autoDraw = True
71.3198 	EXP 	fixation: autoDraw = False
71.3368 	EXP 	grating: autoDraw = True
71.3368 	EXP 	grating: tex = 'sin'
71.6366 	EXP 	grating: autoDraw = False
71.8390 	EXP 	window1: recordFrameIntervals = False
71.8404 	DATA 	Keypress: right
71.8529 	EXP 	fixation: autoDraw = False
71.8529 	EXP 	grating: autoDraw = False
71.8532 	EXP 	window1: recordFrameIntervals = False
72.8285 	EXP 	fixation: autoDraw = True
73.8361 	EXP 	fixation: autoDraw = False
73.8528 	EXP 	grating: autoDraw = True
73.8528 	EXP 	grating: tex = 'sin'
74.1524 	EXP 	grating: autoDraw = False
74.1549 	EXP 	window1: recordFrameIntervals = False
74.1562 	DATA 	Keypress: right
74.1689 	EXP 	fixation: autoDraw = False
74.1689 	EXP 	grating: autoDraw = False
74.1692 	EXP 	window1: recordFrameIntervals = False
75.1465 	EXP 	fixation: autoDraw = True
76.1515 	EXP 	fixation: autoDraw = False
76.1686 	EXP 	grating: autoDraw = True
76.1686 	EXP 	grating: tex = 'sin'
76.4682 	EXP 	grating: autoDraw = False
76.5542 	EXP 	window1: recordFrameIntervals = False
76.5555 	DATA 	Keypress: right
76.5683 	EXP 	fixation: autoDraw = False
76.5683 	EXP 	grating: autoDraw = False
76.5686 	EXP 	window1: recordFrameIntervals = False
77.3380 	DATA 	Keypress: left
77.5444 	EXP 	fixation: autoDraw = True
78.5513 	EXP 	fixation: autoDraw = False
78.5679 	EXP 	grating: autoDraw = True
78.5679 	EXP 	grating: tex = 'sin'
78.8678 	EXP 	grating: autoDraw = False
78.9042 	EXP 	window1: recordFrameIntervals = False
78.9055 	DATA 	Keypress: right
78.9177 	EXP 	fixation: autoDraw = False
78.9177 	EXP 	grating: autoDraw = False
78.9180 	EXP 	window1: recordFrameIntervals = False
79.8948 	EXP 	fixation: autoDraw = True
80.9010 	EXP 	fixation: autoDraw = False
80.9176 	EXP 	grating: autoDraw = True
80.9176 	EXP 	grating: tex = 'sin'
81.1538 	DATA 	Keypress: left
81.1702 	EXP 	window1: recordFrameIntervals = False
81.1843 	EXP 	fixation: autoDraw = False
81.1843 	EXP 	grating: autoDraw = False
81.1846 	EXP 	window1: recordFrameIntervals = False
82.1589 	EXP 	fixation: autoDraw = True
83.1668 	EXP 	fixation: autoDraw = False
83.1839 	EXP 	grating: autoDraw = True
83.1839 	EXP 	grating: tex = 'sin'
83.4835 	EXP 	grating: autoDraw = False
83.5192 	EXP 	window1: recordFrameIntervals = False
83.5207 	DATA 	Keypress: left
83.5335 	EXP 	fixation: autoDraw = False
83.5335 	EXP 	grating: autoDraw = False
83.5337 	EXP 	window1: recordFrameIntervals = False
84.5092 	EXP 	fixation: autoDraw = True
85.5165 	EXP 	fixation: autoDraw = False
85.5332 	EXP 	grating: autoDraw = True
85.5332 	EXP 	grating: tex = 'sin'
85.8020 	EXP 	window1: recordFrameIntervals = False
85.8032 	DATA 	Keypress: right
85.8163 	EXP 	fixation: autoDraw = False
85.8163 	EXP 	grating: autoDraw = False
85.8166 	EXP 	window1: recordFrameIntervals = False
86.7913 	EXP 	fixation: autoDraw = True
87.7991 	EXP 	fixation: autoDraw = False
87.8159 	EXP 	grating: autoDraw = True
87.8159 	EXP 	grating: tex = 'sin'
88.1158 	EXP 	grating: autoDraw = False
88.2012 	EXP 	window1: recordFrameIntervals = False
88.2024 	DATA 	Keypress: right
